Conference_Banquet,ConferenceDinner,=
Scientific_Event,AcademicEvent,=
Accepted_Paper,AcceptedPaper,=
hasReviewer,isReviewedBy,=
Location,Place,=
Academic_Institution,AcademiaOrganization,=
Social_Event,SocialEvent,=
reviewerOfPaper,isReviewing,=
Organisation,Organization,=
Paper_Author,Author,=
locationOf,isLocationOf,=
Research_Topic,Topic,=
Document,Document,=
Rejected_Paper,RejectedPaper,=
Event,ConferenceEvent,=
Session_Chair,SessionChair,=
Person,Person,=
Programme_Brochure,Programme,=
Review,Review,=
Workshop,Workshop,=
Paper,Paper,=
Conference_Participant,Attendee,=
heldIn,hasLocation,=
